CREATED AT,TIME ZONE OFFSET,USER GENDER,VENUE ID,VENUE LATITUDE,VENUE LONGITUDE,CITY,COUNTRY,VENUE MACRO-CATEGORY ID,VENUE MACRO-CATEGORY NAME,VENUE CATEGORY ID,VENUE CATEGORY NAME,CHECK-INS COUNT,VENUE LIKES,VENUE RATING
1511489026,-120,female,58a8ec93297c163b94ddcb1f,-27.57059873892061,-48.63865222882746,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d116941735,Bar,0,none,none
1511524174,-120,male,502e7dbde4b0beacbdb89778,-27.596373259769287,-48.550425366911014,Florianópolis,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d10a951735,Bank,0,none,none
1511625823,-120,male,4d0fb985c3dc3704a6613474,-27.5900922961316,-48.51018735098886,Florianópolis,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1e0931735,Coffee Shop,0,none,none
1511653017,-120,female,54583ad8498ec07de7eb4e73,-27.63437657300193,-48.6576052155697,none,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16f941735,Hot Dog Joint,0,none,none
1511706566,-120,female,50d44082e4b07653d0885c0f,-27.60303714636682,-48.58298532989667,none,Brazil,4e67e38e036454776db1fb3a,Residence,4f2a210c4b9023bd5841ed28,Housing Development,0,none,none
1511713568,-120,female,4f2bcf32e4b09e391d0e3aeb,-27.514595235305535,-48.51487502577545,Florianópolis,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1bc941735,Cupcake Shop,0,none,none
1511736260,-120,male,5952fe4d95d9865ba17b2b6e,-27.59810412067794,-48.60608357780509,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d121941735,Lounge,0,none,none
1511890329,-120,male,52cd1297498e8d948d315587,-27.64202244165203,-48.67579967973622,none,Brazil,4e67e38e036454776db1fb3a,Residence,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),0,none,none
1511890856,-120,male,50916218e4b09fc321309100,-27.59246744672935,-48.555355593616504,Florianópolis,Brazil,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d174941735,Coworking Space,0,none,none
1512080245,-120,female,516cb286498e109d13f422eb,-27.642608289794573,-48.6949053967891,none,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16f941735,Hot Dog Joint,0,none,none
1512087049,-120,female,584206156c682b44fa621833,-27.577926,-48.619357,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d122941735,Whisky Bar,0,none,none
1512087204,-120,none,58a8ec93297c163b94ddcb1f,-27.57059873892061,-48.63865222882746,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d116941735,Bar,0,none,none
